district,age_group,child_population,program_count,available_count,closed_count,programs_per_1000_children,category_diversity,availability_share,low_cost_share,indoor_share,local_alt_count,neighbor_alt_count,paid_share,reservation_dependency,age_restriction_intensity,rule_complexity,count_scaled,per1000_scaled,diversity_scaled,local_alt_scaled,neighbor_alt_scaled,choice_index,planb_index,barrier_index,district_type
종로구,10-12세,3996,876,129,737,219.2192192192192,34,0.14726027397260275,0.9942922374429224,0.317351598173516,129,193,0.0182648401826484,1.0,0.01598173515981735,0.4138127853881279,1.0,1.0,0.5769230769230769,0.8695652173913043,0.29411764705882354,78.21434843695117,64.52946948239139,36.212899543378995,A 선택 풍부 / 플랜B 풍부
중구,10-12세,7803,468,121,346,59.976931949250286,40,0.25854700854700857,0.9914529914529915,0.3247863247863248,121,278,0.027777777777777776,1.0,0.004273504273504274,0.5249999999999999,0.4925373134328358,0.24680768336566533,0.8076923076923077,0.8,0.5572755417956656,52.532785890811205,72.16693127993437,39.04380341880342,A 선택 풍부 / 플랜B 풍부
용산구,10-12세,6054,188,72,103,31.053848695077637,31,0.3829787234042553,1.0,0.1702127659574468,72,421,0.0,1.0,0.005319148936170213,0.7268617021276594,0.14427860696517414,0.11000580458150937,0.46153846153846156,0.3739130434782609,1.0,33.983466117279356,61.71216110439053,43.27792553191488,A 선택 풍부 / 플랜B 풍부
성동구,10-12세,10905,200,77,123,18.34021091242549,33,0.385,0.95,0.21,77,247,0.14,1.0,0.0,0.6164999999999999,0.15920398009950248,0.04987219020977299,0.5384615384615384,0.41739130434782606,0.4613003095975232,34.05048628410361,50.56812646903507,44.6125,A 선택 풍부 / 플랜B 풍부
광진구,10-12세,8138,185,64,117,22.732858196116982,36,0.34594594594594597,1.0,0.23783783783783785,64,267,0.005405405405405406,1.0,0.010810810810810811,0.6486486486486487,0.14054726368159204,0.07064875804537614,0.6538461538461539,0.30434782608695654,0.5232198142414861,36.274923216885426,50.91873995515132,41.59459459459459,A 선택 풍부 / 플랜B 풍부
동대문구,10-12세,8871,72,33,38,8.116334122421373,22,0.4583333333333333,1.0,0.4305555555555556,33,210,0.013888888888888888,1.0,0.0,0.629861111111111,0.0,0.0015147747489399788,0.11538461538461539,0.034782608695652174,0.34674922600619196,25.64995361463692,30.922446740827407,41.16319444444444,D 선택 부족 / 플랜B 부족
중랑구,10-12세,11416,89,38,51,7.796075683251576,19,0.42696629213483145,1.0,0.5955056179775281,38,150,0.0,1.0,0.011235955056179775,0.6567415730337076,0.021144278606965175,0.0,0.0,0.0782608695652174,0.1609907120743034,25.85904745933255,27.718954416415475,41.643258426966284,D 선택 부족 / 플랜B 부족
성북구,10-12세,8050,115,31,72,14.285714285714285,20,0.26956521739130435,1.0,0.48695652173913045,31,207,0.008695652173913044,1.0,0.0,0.7286956521739127,0.053482587064676616,0.030695024650216125,0.038461538461538464,0.017391304347826087,0.33746130030959753,25.360518573172047,29.491716454228232,43.47826086956521,D 선택 부족 / 플랜B 부족
강북구,10-12세,3349,115,45,70,34.33860853986265,25,0.391304347826087,0.9826086956521739,0.28695652173913044,45,155,0.11304347826086956,1.0,0.017391304347826087,0.615652173913043,0.053482587064676616,0.12554222973274265,0.23076923076923078,0.1391304347826087,0.17647058823529413,29.098599798568394,30.35156403698603,44.13043478260869,D 선택 부족 / 플랜B 부족
도봉구,10-12세,11818,136,71,53,11.507869351836183,27,0.5220588235294118,0.9926470588235294,0.5955882352941176,71,98,0.007352941176470588,1.0,0.0,0.7897058823529411,0.07960199004975124,0.01755623157666819,0.3076923076923077,0.3652173913043478,0.0,33.420745418998756,38.24358154633091,44.963235294117645,B 선택 풍부 / 플랜B 부족
