district,week,program_count,available_count,low_cost_share,indoor_share,category_diversity,age_group,availability_share,count_scaled,diversity_scaled,choice_index
종로구,41,6,0,1.0,0.5,5,10-12세,0.0,0.12,0.3333333333333333,30.866666666666664
종로구,42,25,0,1.0,0.24,7,10-12세,0.0,0.5,0.4666666666666667,44.23333333333333
종로구,43,16,0,1.0,0.375,6,10-12세,0.0,0.32,0.4,37.95
종로구,44,10,0,1.0,0.4,5,10-12세,0.0,0.2,0.3333333333333333,32.666666666666664
종로구,45,27,8,1.0,0.6666666666666666,11,10-12세,0.2962962962962963,0.54,0.7333333333333333,61.15925925925926
종로구,46,18,0,0.9444444444444444,0.3888888888888889,6,10-12세,0.0,0.36,0.4,38.65555555555556
종로구,47,13,0,1.0,0.3076923076923077,4,10-12세,0.0,0.26,0.26666666666666666,32.51025641025641
종로구,48,17,0,1.0,0.6470588235294118,4,10-12세,0.0,0.34,0.26666666666666666,38.70392156862745
종로구,49,19,1,1.0,0.15789473684210525,8,10-12세,0.05263157894736842,0.38,0.5333333333333333,41.598245614035086
종로구,50,19,0,1.0,0.3684210526315789,10,10-12세,0.0,0.38,0.6666666666666666,45.31754385964912
종로구,51,13,1,1.0,0.3076923076923077,5,10-12세,0.07692307692307693,0.26,0.3333333333333333,35.38205128205128
종로구,52,8,1,1.0,0.25,4,10-12세,0.125,0.16,0.26666666666666666,30.933333333333334
중구,1,23,16,1.0,0.391304347826087,13,10-12세,0.6956521739130435,0.46,0.8666666666666667,66.25942028985507
중구,2,2,1,1.0,0.0,2,10-12세,0.5,0.04,0.13333333333333333,29.06666666666667
중구,3,3,0,1.0,0.3333333333333333,1,10-12세,0.0,0.06,0.06666666666666667,21.766666666666666
중구,4,13,13,1.0,1.0,4,10-12세,1.0,0.26,0.26666666666666666,59.43333333333334
중구,5,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
중구,6,7,4,1.0,0.14285714285714285,5,10-12세,0.5714285714285714,0.14,0.3333333333333333,39.423809523809524
중구,7,3,0,1.0,0.3333333333333333,3,10-12세,0.0,0.06,0.2,24.433333333333334
중구,8,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
중구,9,4,1,1.0,0.5,3,10-12세,0.25,0.08,0.2,31.799999999999994
중구,10,4,2,1.0,0.5,3,10-12세,0.5,0.08,0.2,36.8
중구,11,2,0,1.0,0.5,2,10-12세,0.0,0.04,0.13333333333333333,24.066666666666663
중구,12,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
중구,13,6,0,1.0,0.5,4,10-12세,0.0,0.12,0.26666666666666666,29.533333333333335
중구,14,11,2,1.0,0.45454545454545453,8,10-12세,0.18181818181818182,0.22,0.5333333333333333,41.548484848484854
중구,15,9,3,1.0,0.5555555555555556,6,10-12세,0.3333333333333333,0.18,0.4,41.52222222222222
중구,16,9,3,1.0,0.7777777777777778,7,10-12세,0.3333333333333333,0.18,0.4666666666666667,45.07777777777777
중구,17,47,24,1.0,0.3191489361702128,14,10-12세,0.5106382978723404,0.94,0.9333333333333333,79.9709219858156
중구,18,13,6,1.0,0.3076923076923077,11,10-12세,0.46153846153846156,0.26,0.7333333333333333,51.07435897435897
중구,19,46,20,0.9782608695652174,0.06521739130434782,10,10-12세,0.43478260869565216,0.92,0.6666666666666666,69.55507246376811
중구,20,15,10,1.0,0.6666666666666666,7,10-12세,0.6666666666666666,0.3,0.4666666666666667,54.833333333333336
중구,21,11,8,1.0,0.45454545454545453,5,10-12세,0.7272727272727273,0.22,0.3333333333333333,48.45757575757576
중구,22,9,3,1.0,0.4444444444444444,5,10-12세,0.3333333333333333,0.18,0.3333333333333333,39.077777777777776
중구,23,7,1,1.0,0.2857142857142857,4,10-12세,0.14285714285714285,0.14,0.26666666666666666,30.947619047619046
중구,24,6,0,1.0,0.3333333333333333,4,10-12세,0.0,0.12,0.26666666666666666,27.866666666666667
중구,25,4,1,1.0,0.5,2,10-12세,0.25,0.08,0.13333333333333333,30.466666666666665
중구,26,7,0,1.0,0.42857142857142855,3,10-12세,0.0,0.14,0.2,28.18571428571429
중구,27,11,0,1.0,0.2727272727272727,7,10-12세,0.0,0.22,0.4666666666666667,34.76060606060606
중구,28,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
중구,29,8,0,1.0,0.25,2,10-12세,0.0,0.16,0.13333333333333333,25.766666666666666
중구,30,3,0,1.0,0.3333333333333333,2,10-12세,0.0,0.06,0.13333333333333333,23.099999999999998
중구,31,6,0,1.0,0.16666666666666666,5,10-12세,0.0,0.12,0.3333333333333333,27.53333333333333
중구,32,4,0,1.0,0.5,3,10-12세,0.0,0.08,0.2,26.8
중구,33,7,0,1.0,0.14285714285714285,4,10-12세,0.0,0.14,0.26666666666666666,26.661904761904765
중구,34,6,0,1.0,0.0,4,10-12세,0.0,0.12,0.26666666666666666,24.533333333333335
중구,35,6,0,1.0,0.3333333333333333,3,10-12세,0.0,0.12,0.2,26.53333333333333
중구,36,18,2,1.0,0.3333333333333333,10,10-12세,0.1111111111111111,0.36,0.6666666666666666,46.488888888888894
중구,37,11,0,1.0,0.36363636363636365,7,10-12세,0.0,0.22,0.4666666666666667,35.669696969696965
중구,38,8,0,1.0,0.375,6,10-12세,0.0,0.16,0.4,32.35
중구,39,6,0,1.0,0.0,5,10-12세,0.0,0.12,0.3333333333333333,25.866666666666667
